facade_solar_group,buildingelement_identifier,disturbance_identifier,absorptance,
,B0002,UP,0.6,
,B0003,N,0.6,
,B0004,S,0.6,
,B0005,W,0.6,
,B0008,UP,0.6,
,B0009,N,0.6,
,B0010,S,0.6,
,B0014,UP,0.6,
,B0015,N,0.6,
,B0016,S,0.6,
,B0020,UP,0.6,
,B0021,N,0.6,
,B0022,S,0.6,
,B0026,UP,0.6,
,B0027,N,0.6,
,B0028,S,0.6,
,B0030,E,0.6,
,,,,
,,,,
window_solar_group,buildingelement_identifier,disturbance_identifier,control_identifier,secondary_gains_fraction
,,,,
,,,,
,,,,
infiltration_specification,zone_identifier,airchangerate,,
